DOCID	DATESQL	DOC_NBR	cleanBody
943819	19760630000000	1976QUEBEC00162	1.  QUEBECOIS ARE ANGRY AND DISMAYED BY WHAT IS CESCRIBED WIDELY AS SURRENDER BY GOC TO "BLATANT AND ILLEGAL" AIR CONTROLLER  CHALLENGE TO PRINCIPLE OF BILINGUALISM.  INITIAL REACTIONS  SEEM GOVERNED MORE BY TRIBAL INSTINCTS THAN BY CAREFUL CONSI- DERATION.  ONE HIGHLY PLACED LIBERAL PARTY SUPPORTER COMMENTED TO US THAT ISSUE IS "MADE TO ORDER FOR SEPERATIST DEMOGOGUES." WELL INFORMED FRANCOPHONE JOURNALISTN IN UNCHARACTERISTIC HYPERBOLE, SAID LIBERALS MAY HAVE "DEALTH THEMSELVES AND  CANADA MORTAL BLOW."\n2.  AS INDICATOR OF POLITICAL IMPORTANCE THIS ISSUE HAS ASSUMED IN QUEBEC, MARC LALONDE, FEDERAL MINISTER OF HEALTH AND  WELFARE AND FEDERAL LIBERAL PARTY LEADER IN QUEBEC, FELT  CONSTRAINED LAST NIGHT TO DISCARD PREVIOUSLY SCHEDULED TALK ON BUDGET TO DEFEND GOCS HANDLING OF AIR CONTROLLER ISSUE.   SPEAKING TO PARTY FAITHFUL IN LOCAL LIBERAL PARTY CLUB. LALONDE STATED HIS THEME EARLY AND REPEATED IT OFTEN.  GOC HAS COMMITTED ITSELF TO BILINGUALISM AND IS NOT GOING BACK ON ITS WORD.  HE STRESSED THAT LIBERALS MUST SUCCEED WITHIN MANDATE OF PRESENT  GOVERNMENT (I.E. 1974-78) IN ESTABLISHING BILINGUALISM IRRE- UNCLASSIFIED  VERSABLY- IN THE AIR AND ELSEWHERE.  FEDERAL LEADERS ARE NOT  NAIVE, HE ADDED.  THEY KNOW THAT PROCESS WILL NOT BE EASY.   WORST ENEMIES ARE THOSE WHO CLAIM TO AGREE IN PRINCIPLE BUT  OPPOSE EVERY STEP TAKEN TO APPLY POLICY.  IN MAKING NECESSARY COMPROMISE TO GET PLANES FLYING, LALONDE ASSERTED, GOC DID  NOT BUDGE ON ESSENTIAL PRINCIPLE, THE PROGRESSIVE INTRODUCTION OF BILINGUAL CONTROL IN QUEBEC AIRSPACE.\n3.  ON THIS ISSUE, GOC IS NATURAL ALLY OF GENS DE LAIR  (QUEBECS PILOTS, CONTROLLERS, ETC.) AND AN ACTIVE PARTICIPANT BEFORE THE 3-MAN COMMISSION OF INQUIRY.  LALONDE STRESSED THAT GOC WILL DO ALL POSSIBLE TO CONVINCE COMMISSION THAT BILINGUAL VISUAL FLIGHT CONTROL IS SAFE AT REMAINING 3 OF 10 QUEBEC AIRPORTS AS MOT HAS DETERMINED AND WORK TO DEVELOP PROOF THAT  BILINGUAL INSTRUMENT FLIGHT CONTROL IS ALSO SAFE.  TO THIS  END, HE SAID THAT IT WOULD BE REGRETTABLE IF FRANCOPHONE FLIGHT CONTROLLERS AND PILOTS BOYCOTTED HEARINGS AND LEFT GOC ALONE  TO DEFEND BILINGUALISM (THE QUEBEC WING OF THE CANADIAN AIR  TRAFFIC CONTROLLERS HAD THREATENED TO SHUN HEARINGS OF SPECIAL THREE MAN COMMISSION AND THEIR LEADER ANNOUNCED THAT HE WOULD SEEK TO DECERTIFY HIS ORGANIZATION FROM THE NATIONAL UNION.)   LALONDE STATED HE IS SURE THAT THE SAFETY ISSUE WILL PROVE NON-EXISTENT.  HE DENOUNCED IT AS A FALSE ISSUE COVERING  POLITICAL MOTIVES AND CONCLUDED THAT THE EDITORIALS WRITTEN  IN "ENGLISH-LANGUAGE PRESS" IN LAST 72 HOURS DEMONSTRATE THAT COUNTRY IS BEGINNING TO UNDERSTAND THIS FACT.\n4.  ELSEWHERE IN QUEBEC CITY LAST NIGHT PQ LEADERS RENE LEVESQUE, CLAUDE MORIN, AND MARCEL LEGER MET PRESS TO DENOUNCE FEDERAL  LIBERALS WHO DARED TO QUALIFY "ODIOUS SURRENDER OF GOC BEFORE ANGLOPHONE PILOTS AND CONTROLLERS AS VICTORY OF BILINGUALISM". LEVESQUE SAID THAT NOT EVEN A PQ GOVT. COULD RESOLVE PROBLEM WITHIN CURRENT PROVINCIAL/FEDERAL SET-UP, TYUS ISSUE SHOWS  ONE MORE TIME THAT QUEBEC MUST BECOME INDEPENDENT TO PUT AN  END TO "FARCE WHICH HAS LASTED 109 YEARS".  NOTING THAT TRUDEAU COMPARED CURRENT "CRISIS" TO 1942 CONSCRIPTION CRISIS, LEVESQUE REMARKED THAT ENGLISH-CANADIANS WON BOTH AS THEY WILL ASLL  CRISES WHERE THEY FEEL NEED TO PUT DOMESTIC COLONY - QUEBEC - IN ITS PLACE.\n5.  COMMENT:  LALONDE WAS OBVIOUSLY UNDER GREAT PRESSURE FROM LOCAL PARTY FAITHFUL TO PROVIDE CONVINCING JUSTIFICATION FOR  GOC ACTION.  HIS PASSIONATE REAFFIRMATION OF TRUDEAU GOVERN- MENTS CONTINUED DEDICATION TO BILINGUALISM MAY HAVE REASSURED UNCLASSIFIED  SOME PARTY MILITANTS.  HOWEVER, OUR OBSERVATION WAS THAT  GENERAL REACTION OF EVEN THIS SELECT AUDIENCE WAS PENSIVE AND  UNENTHUSIASTIC.  VIRTUALLY ALL POLITICALLY AWARE QUEBECOIS  WITH WHOM WE HAVE DISCUSSED SITUATION VIEW THIS ISSUE AS A  CHALLENGE TO BILINGUALISM AND TO THE INTEGRITY OF THE TRUDEAU GOVERNMENT.  EVEN MANY COMMITTED LIBERAL PARTY FEDERALISTS  ARE DISPLEASED WITH WHAT IS WIDELY VIEWED AS A BREACH OF THE  BILINGUAL COMMITMENT.  REGARDLESS OF TECHNICAL JUSTIFICATION  FOR THE CONCESSIONS MADE TO THE PILOTS AND CONTROLLERS, QUEBECOIS PERCEIVE THE ISSUE AS A POLITICAL CHALLENGE WHICH DEA MANDS GROUP SOLIDARITY.  THE PM HIMSELF, ACCORDING TO SOME  OBSERVERS, ENCOURAGED THIS VIEW OF GROUP CONFRONTATION BY  DESCRIBING THE ISSUE AS GRAVEST "CRISIS" IN INTERCOMMUNAL  RELATIONSHIPS SINCE 1942. MCNAMARA\n
943820	19760630000000	1976PORTL00559	
943821	19760630000000	1976PORTO01697	
943822	19760630000000	1976PORTA01716	
943823	19760630000000	1976SANJO03183	
943824	19760630000000	1976SANSA02987	
943825	19760630000000	1976SANSA02991	
943826	19760630000000	1976SANJO03188	
943827	19760630000000	1976SANJO03184	
943828	19760630000000	1976SANJO03180	
943829	19760630000000	1976SANJO03171	
943830	19760630000000	1976RIODE02521	
943831	19760630000000	1976RIODE02511	
943832	19760630000000	1976SANJO03173	
943833	19760630000000	1976SANSA03004	
943834	19760630000000	1976IAEAV05443	
943835	19760630000000	1976KABUL04964	1. EXCHANGE RATE FOR OFFICIAL TRANSACTIONS JUNE 30, 1976 AF S.50 TO $1.00.\n7.50 TO $1.00. CURRAN\n
943836	19760630000000	1976LAPAZ05165	
943837	19760630000000	1976IAEAV05452	
943838	19760630000000	1976IAEAV05442	
943839	19760630000000	1976ABUDH01797	
943840	19760630000000	1976ECBRU06454	
943841	19760630000000	1976HONGK07673	
943842	19760630000000	1976ECBRU06460	
